ra,dec,source_id,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_n_obs,phot_g_mean_mag,g,bp_rp
36.7458152755119,63.87902010414089,514466305303231104,133.21481247597362,2.9313604801851976,1.0014401273169444,0.041648110397759494,2.9919544102768705,0.038050773401514346,-3.94828023198579,0.060386757461533234,-0.27664617,0.091839045,-0.29975495,0.18621749,0.023732077,0.15463369,-0.19937232,-0.05784146,0.278793,-0.3671055,479,15.744843,15.744843,1.8212204
37.17971700254339,63.69147584090452,514413288225491584,133.46190164080565,2.8264282218094503,1.2301148699994584,0.10282497564509627,2.8301464387295914,0.09509971613311037,-3.531500788161492,0.1418598528340703,-0.32955262,0.08466443,-0.39263713,0.2416066,-0.05264929,0.21413046,-0.20013486,-0.054426804,0.21423377,-0.36192498,518,13.29779,13.29779,1.0412874
36.990552750004774,63.71276468177044,514414490816333312,133.37600960227368,2.8156003955064635,0.9404068668887545,0.01615487707192891,3.5182593618567495,0.014829422121875891,-4.1407248775815875,0.02307239859629218,-0.36617544,0.079192705,-0.35362193,0.270339,-0.05435,0.2475155,-0.30848926,0.0021071502,0.22128461,-0.37788683,541,13.265045,13.265045,1.1204357
36.41670447926057,64.06458967869054,514483656971057920,133.01318909450578,3.0528149397394904,0.8281899668492911,0.04621639010045973,2.3275155274980417,0.047106351251524695,-3.4813885949505963,0.06904669134145047,-0.30239913,0.13039815,-0.2650109,0.1612152,-0.061510954,0.13067986,-0.16628149,-0.06158533,0.17243454,-0.41753054,441,16.2614,16.2614,1.733469
36.80790906487173,64.21341722846005,514480736393184256,133.11917941030927,3.252982691476056,0.6721008743461436,0.047771105128994164,2.353967159133176,0.04574071225764277,-3.6708340645421327,0.06952984757064519,-0.27902967,0.17626446,-0.28594545,0.23881361,-0.07376,0.19836242,-0.22600876,-0.070587076,0.17731936,-0.37124813,451,16.277052,16.277052,1.8202868
36.94369265144752,64.43084449375031,514518841343780992,133.09507143515194,3.4769405028914395,1.128619082170964,0.03532988823911908,2.944663887393517,0.03364348346767834,-4.63293921961716,0.05167616281994173,-0.32851267,-0.0062564504,-0.35639432,0.38256726,0.09291887,0.343373,-0.25077704,0.055993624,0.118456535,-0.32963753,417,15.543516,15.543516,1.5207844
36.066092184036044,64.23891838628865,514489498126318976,132.8082440635145,3.1618025038884507,0.9563601410629413,0.028234107606719537,3.1447267211623053,0.025797285446099483,-3.996418489284637,0.03801388186011917,-0.19074342,0.19784714,-0.39012015,0.23049262,0.026662461,0.15054706,-0.20859085,-0.055443723,0.3565444,-0.30920202,389,14.753214,14.753214,1.455574
36.53557377101265,64.53016725267861,514500939919207936,132.89487768117746,3.5061010987600936,1.021096132438579,0.03766801424000193,3.0830584848283413,0.036827715137894276,-4.126433374715889,0.055111311316107914,-0.31612486,0.036010906,-0.4612227,0.27552348,-0.00243447,0.24181554,-0.23853874,0.06380664,0.24732912,-0.35870302,367,15.454474,15.454474,1.5134945
36.4698023153117,64.53217452141241,514500871199732224,132.86769620469798,3.4978619547584975,1.0027724578001496,0.06193299269781777,2.754146752901192,0.06212694457870411,-3.7930524781923385,0.09222464559875101,-0.2877347,0.047950074,-0.39375085,0.22046697,-0.059152972,0.17514054,-0.15647857,0.05467217,0.28705066,-0.34612083,373,16.595972,16.595972,1.7171106
36.57890390055723,64.24671042213893,514492624862648960,133.01413945113828,3.2481774714628573,1.0621100239491503,0.046850008514576685,3.767653524633846,0.05327777442332693,-4.336211018376163,0.07201919713308436,-0.22220436,0.060538966,-0.36990336,0.16343838,-0.06348742,0.13250877,-0.18706937,6.5571384E-4,0.14423732,-0.31232193,445,16.432331,16.432331,1.7045631
36.27452767953351,64.27193565817184,514490563273883008,132.88142813064846,3.2246325438090437,0.7004531364708012,0.11495243793003307,3.1961440203842484,0.12068446828520295,-3.0363984451172543,0.17664312075550542,-0.23609501,0.046673942,-0.28477,0.19015357,-0.015358637,0.14966303,-0.13695952,0.017823735,0.21046646,-0.36984885,392,17.919567,17.919567,2.389059
34.56454777985257,63.38578471261054,514725480813553920,132.47512590946505,2.1341423022959924,0.7649749998855546,0.022469376686318158,2.959663304447334,0.02021550432550426,-4.1673060931096835,0.03201121191988933,-0.2722498,0.24993867,-0.27613413,0.32132837,-0.16599119,0.23352371,-0.17375396,-0.09157954,0.2705141,-0.3811123,443,14.043831,14.043831,1.0190802
34.53593134935599,63.37134223614606,514725446453840896,132.46776651879557,2.1162838542352933,0.8297919372424422,0.09242291455029478,2.742654697626334,0.08589844951415473,-3.7300459235237278,0.12547965808492006,-0.3140398,0.300048,-0.15843256,0.15950961,-0.20462544,0.048990745,0.0020148973,0.03434906,0.16843891,-0.46741202,421,17.32853,17.32853,1.6130466
34.265515529272946,63.75553847784937,514746852570503808,132.22816045696484,2.439980924567639,0.9190012412912566,0.06900095700841724,3.308982054558167,0.07284193194075296,-3.953992146857531,0.1045666485588767,-0.27854225,0.08437466,-0.28065774,0.15988937,-0.04587312,0.10795497,-0.152259,0.11200393,0.14443254,-0.4752267,433,16.946966,16.946966,1.702591
34.25336216573061,63.74515890498674,514746818210767872,132.22644919540207,2.4284178158231406,0.9710193225344441,0.0305521875046201,3.3195551524821276,0.029526094715228563,-3.738252736852428,0.04433025154739693,-0.23722176,0.05896482,-0.42970604,0.24952787,0.0064423587,0.20533974,-0.22317056,0.032358162,0.22330798,-0.3320626,456,15.335392,15.335392,1.4306946
34.16645704285057,63.68801952490186,514744859705704704,132.2085612531002,2.3618866383693846,0.8091162449369643,0.09154578379957667,2.7939288741974018,0.09884133846742385,-4.534163280583848,0.1353057903975972,-0.27410677,0.20320778,-0.25545412,0.13948928,-0.16665101,0.053759262,-0.16460529,0.17266673,0.11918309,-0.45088312,371,17.32044,17.32044,1.6809826
35.01460523630889,63.81215538535374,515112921220688384,132.5220440383944,2.602799186967265,0.967140483325254,0.025103517369933645,3.1734034376885205,0.02589892994085529,-3.999753790203483,0.03879681446115021,-0.32596242,0.08561492,-0.44210804,0.26733983,-0.068331935,0.21482815,-0.22913432,0.025992207,0.19965401,-0.4293947,419,14.678613,14.678613,1.1940556
35.31693869994678,63.71490210275478,515108591893911936,132.68087203619896,2.5564694595307405,0.9765684418695283,0.018113048331572373,3.2236314808822115,0.017701820176980923,-3.867429831809298,0.029799018645809926,-0.29254466,0.086110994,-0.31975567,0.30425146,0.034300525,0.2551496,-0.21544644,0.05352289,0.12094533,-0.4450304,407,13.155054,13.155054,0.94036007
35.226610409175706,63.82465199163878,515111611246674432,132.6059661012384,2.646133020618504,1.033258188739835,0.10261705024553892,3.3941340144955827,0.10324687610220395,-4.023195338801523,0.16256649340562515,-0.2812146,0.03138566,-0.34612885,0.26037684,0.09158745,0.18320616,-0.058608722,-0.02649516,0.24411923,-0.47791654,373,17.527882,17.527882,2.0773735
