source_id,l,b,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_n_obs,phot_g_mean_mag,g,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,radial_velocity_error
3375288186587699072,189.43026447137498,0.7548898610014426,92.35079812423626,0.11386199546861495,21.154388266288226,0.10865881929706553,0.4770215207221239,0.13183323186307513,0.34245322695435604,0.2401866034331406,-1.8759509943515618,0.22581043422148164,-0.26922768,0.0036059795,-0.28790355,0.31565052,-0.37942925,0.20440009,-0.34928742,0.2102488,0.24456614,-0.44784766,160,16.518747,16.518747,19.042542,15.016879,,
3375234379237454592,189.62332019569098,0.6663707230831892,92.3678720502984,0.019243888431552857,20.9426183538089,0.018119537449271663,0.5117206923136275,0.021571791298949834,-1.3922258233072364,0.038935582578095256,-1.8650038920669985,0.03267856182234594,-0.13931845,0.11325381,-0.15379564,0.28030762,-0.40727118,0.21728896,-0.28587806,0.08051962,0.12217946,-0.056256123,183,13.201914,13.201914,14.007952,12.327836,66.2153970025723,2.1236102256502503
3375230015550928384,189.72326716913494,0.6729558392245146,92.42578426816905,0.05034868035687773,20.858330718285362,0.04927560152947485,0.7762744222137526,0.06186746369743545,-0.4288975794399578,0.09632399217790939,-2.382956650548114,0.07847162503361733,-0.12849952,0.18697487,-0.23362288,0.22267243,-0.5256057,0.06666222,-0.4080688,0.1849322,0.17394893,0.07954653,129,15.723699,15.723699,16.15702,15.121371,,
3375238158808856576,189.7049937067697,-0.05590710197529097,91.73512830415012,0.0962591588670055,20.52052483922246,0.08910716576386006,1.2837655251188902,0.1067700032958836,-0.48908536833459826,0.18837484552770595,-2.5124931698985886,0.1563684570185643,-0.2788678,-0.062075913,-0.37092665,0.41046828,-0.3010988,0.30192772,-0.47827044,0.33236817,0.19434741,-0.33742934,165,17.24748,17.24748,18.079937,16.329645,,
3375224449273371264,189.74616426982377,0.44511398610427116,92.22438136539041,0.07838177215707401,20.728004695348194,0.08124662933688147,0.20232923308608142,0.10032407582530513,-1.0518727189116361,0.17495446612320928,-1.681534158974783,0.16303565168217835,-0.22245707,0.12301595,-0.02184594,-0.022779696,-0.5623989,-0.079122566,-0.14033893,0.07062509,0.21426456,-0.31057233,114,16.527687,16.527687,18.011084,15.301653,,
3375221666134534656,189.83410616970366,0.5790388157996342,92.39518889367096,0.07645904098991692,20.71590162617629,0.0750759635477293,0.739148091568011,0.09515452445778634,-0.2585479827584686,0.14702652539572114,-2.029002902393303,0.13405808834181054,-0.2734609,0.26111457,-0.20287977,0.18976955,-0.51432884,-0.041550174,-0.35787094,0.28622168,0.25086623,-0.21039334,124,16.706781,16.706781,17.199594,15.9747,,
3375313574137279616,189.76735155114142,0.9281839572112257,92.68781777615642,0.15626182343763978,20.9429559700129,0.14759381653316384,0.472827763347133,0.13981130779087111,-0.582589742017057,0.31809711744980756,-2.171244947714794,0.2632655183948017,-0.36046708,-0.07876709,-0.5962129,0.4630505,0.1641958,0.488923,-0.6571689,0.43480155,-0.06018855,-0.46353877,94,17.183535,17.183535,18.140804,16.191252,,
3375258327975244416,189.46283687586504,0.0064037560718994855,91.66713748750064,0.1434473017339663,20.76233939705477,0.1297155379697753,0.6558578107673474,0.15533853631493352,-1.0903000240854668,0.2993760026866185,-2.254311718263504,0.2590348585378426,-0.10807119,-0.13022311,-0.27663326,0.20510593,-0.30725035,0.2121332,-0.3908381,0.090606354,0.20507249,-0.25745767,118,17.380095,17.380095,18.057383,16.57777,,
3375288186587699712,189.4296792361039,0.7522794569595762,92.34804499056861,0.04707843139903425,21.15363724858018,0.04437049294431154,0.7083759439799151,0.05217711706033509,0.12662841003081982,0.09270354470182668,-2.0943926044803156,0.07994370168845737,-0.28665057,-0.0091546755,-0.36201742,0.36836532,-0.35290408,0.24362656,-0.46024233,0.2831436,0.19164443,-0.32675108,168,15.61399,15.61399,16.043272,15.013914,,
3375289217379851392,189.39892180222193,0.7409984605745864,92.32149835818664,0.07410255785010177,21.175090903324946,0.06873564238931865,0.5318652792118232,0.07816209811897264,0.2376546661488459,0.1531656556518006,-3.604900701554025,0.14203794700323355,-0.08878651,-0.0066861087,-0.3788974,0.21664976,-0.30870777,0.12661493,-0.4054825,0.22681318,0.20908202,-0.23085132,129,16.655394,16.655394,17.29687,15.860242,,
3375237265455658112,189.7575394335524,-0.037740506116616376,91.77939387974021,0.04331506019618382,20.48348436531757,0.039531379890111934,0.46242828658062113,0.042622188975693164,0.299838081575701,0.0838272952707267,-2.3891656211564523,0.06728479690719992,-0.3156921,-0.06488038,-0.42341366,0.4837688,-0.23958594,0.38976324,-0.5039915,0.29285294,0.029126033,-0.26040456,150,11.9124775,11.9124775,12.139032,11.502931,,
3375237746491989376,189.73169364557677,-0.02262119170886093,91.78005385150367,0.10703164484757725,20.513421233628442,0.09834254256594206,0.31130159733785145,0.11082545178220522,0.19714598830159252,0.20596094138989252,-1.9155807748718439,0.16685074839142475,-0.4029512,-0.05208079,-0.4326652,0.53167164,-0.23614508,0.41774002,-0.5419492,0.36461404,0.11811984,-0.4181348,161,15.497765,15.497765,17.690334,14.08633,,
3375331960895555072,189.61160430641613,1.0149065981682461,92.68879098606571,0.12321268318541588,21.121197987913277,0.11098496358442304,0.4467129996371351,0.13115192574443726,-1.0255056131498397,0.2870943987716335,-1.9916965135550542,0.2760779356063052,-0.20281824,-0.09137683,-0.23209009,0.20776841,-0.19061509,0.24550402,-0.28867266,-0.041932166,0.27059278,-0.48579973,99,17.512934,17.512934,18.427885,16.589167,,
3375255609258805632,189.5051073296186,-0.15051224148324938,91.54276165874572,0.050548045014386936,20.648876238059383,0.04633067057015326,0.9329230288271221,0.05364386897899837,-0.10477249147984448,0.1008277071468322,-2.0705490636655686,0.0816499562115981,-0.08088298,-0.014494996,-0.35843414,0.23509283,-0.3483682,0.15793887,-0.4572081,0.19656861,0.1197553,-0.033242933,137,15.845935,15.845935,16.3637,15.162897,,
3375315120325550208,189.76733066107934,1.034328414179949,92.78741393994684,0.15825974479343047,20.99411780083059,0.1414895179545871,0.16940712996738042,0.16742862190014518,0.2818006670694536,0.2977256943808759,-3.0224425440980727,0.23818190745712786,-0.15016933,0.07369384,-0.3080009,0.35108098,-0.103909105,0.30903694,-0.47087994,0.35449356,0.16315924,-0.19364603,119,17.852228,17.852228,18.950132,16.757742,,
3375235783690685568,189.62394710010898,0.7077111239594867,92.40694080317951,0.11753446431420175,20.962066572605742,0.11219262881173074,0.42719818785767594,0.13031433248178625,0.16762553442498532,0.23060925924510234,-2.247081421144988,0.19832288380929186,-0.1951267,0.0884668,-0.19464292,0.35867223,-0.4071453,0.26008126,-0.3277935,0.15073478,0.13247693,-0.16178189,169,17.764088,17.764088,18.804127,16.657003,,
