ra,dec,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error
73.34322287840244,40.787393677736894,200310127861321472,-0.357697684105644,0.8679832818363408,3.400043474795926,2.6142379145104138,-2.333706854548776,1.5274530030980966,0.13750592,0.16961917,-0.7524271,19.883972,20.777285,18.7949,209.77691709809562,1.425316629180321,67.5525247254286,10.638982150683345,243.67324985602667,7.983767141247912
73.56908256271198,40.8035848419095,200307344722589568,-0.2114566125842843,0.3231728992864432,-1.2282286560625284,0.5475221497705481,-0.18564243280582526,0.4320482788005436,0.07748042,0.49595547,-0.023248686,18.969967,19.539494,17.969028,486.8100830635357,1.2382098249093325,211.23121973326158,5.0380772331779,521.3824056112356,12.054158170562948
73.40245725920965,40.865616342087925,200310883775883264,0.18001456238208222,0.0744583633932307,0.956180572100112,0.1353621817547161,-0.3710899549385186,0.09666118264075255,0.030805228,0.32567534,0.099156655,16.607073,17.016958,16.007195,4290.59378318622,2.8600169013449137,2156.612809536072,12.829304521120045,3176.071034502173,7.7428251978867575
73.47071013172602,40.827611436125636,200311227373111168,-0.1307932887264599,0.44439248177995017,-1.999438426843717,1.2430839980112798,-1.8563190896096138,0.7167361332476124,0.14153612,0.20783487,-0.5575772,19.155153,19.70642,18.251429,410.4732011425909,1.3809652626616273,181.12846842975864,14.039728600176433,401.97249744961067,11.5249752336096
73.543396613128,40.871020571155825,200308860845515136,1.8381566496425148,0.944064958254136,3.102721123120772,3.092890103888425,-0.8171208611196874,1.7052174711866797,0.3903459,-0.036247373,-0.55916846,20.314194,21.079485,19.496393,141.14618348611685,1.2385891243756462,51.14005441216303,6.688339346892557,127.70582661976837,6.180814761101584
73.52818365584206,40.80835162054287,200308036215597440,,,,,,,,,,20.869532,,,84.63187739532763,1.5152007021972613,,,,
73.57317697919444,40.91090836367692,200314869505724416,1.982676890714113,0.6408806584157876,0.2546399942632973,1.5146572162758218,6.183705430731246,1.0306357929535677,-0.15435423,0.48008138,-0.5301185,19.8538,20.926378,18.755766,215.68825504182738,1.1277618331340404,58.88487067476719,9.374845778509444,252.6163739444287,3.992903449021577
73.56546401066936,40.97069156603996,200318241053968256,-0.18867885659322267,0.22032987799278902,0.6217103324386071,0.49633426600258523,-1.2965306969519914,0.4049719895852303,0.35083875,0.04717265,-0.28448707,18.135807,,,1049.5984965905998,2.596163235805097,,,,
73.6036929382885,40.83625872442196,200307795695200256,,,,,,,,,,21.103512,,,68.22463063069858,1.962953512515516,,,,
73.47911771475758,40.857303473432324,200311334749988992,0.29592733180252645,0.025444650723369933,0.3626063687015283,0.044563690111387985,-2.0429080440594984,0.03244241969839813,0.12741263,0.31231713,0.121350616,13.44815,13.742035,12.983784,78720.27071248597,39.17963257864353,44029.27024798601,98.05652217285818,51434.491868212295,89.79928366135726
